"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @JoyceLocke: Projectors at #4c15 don't have speakers.  We have a few, but if you really need sound, you might bring a cheap pair just in…",FALSE,0,NA,2015-03-17 18:31:00,FALSE,NA,"577899953932099584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Louisvillebound",6,TRUE,FALSE,NA,NA
"Need some beach time at #4C15 but no car? New ferry to Clearwater Beach has just opened. #4c15 http://t.co/0nzIcNCQrs @Tampa4c",FALSE,5,NA,2015-03-17 18:30:24,FALSE,NA,"577899804770103296",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NCTE_CCCC",1,FALSE,FALSE,NA,NA
"Mark your calendars! We'll be discussing improving retention, big data and competency-based education in Booth 311! #4C15",FALSE,0,NA,2015-03-17 18:30:10,FALSE,NA,"577899745672359937",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ginamartz3",0,FALSE,FALSE,NA,NA
"RT @NCTE_CCCC: MT @brownellcassie: Shameless promotion of my @MSUCollegeofEd mentor @wargojon's #4c15 award http://t.co/F2CxYmVjF2",FALSE,0,NA,2015-03-17 18:28:05,FALSE,NA,"577899220130263040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wargojon",2,TRUE,FALSE,NA,NA
"Twitter feed buzzing for #4c15! On my way!",FALSE,0,NA,2015-03-17 18:23:14,FALSE,NA,"577897999457738753",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","hpbellwoar",0,FALSE,FALSE,NA,NA
"So... I'm going to be in Tampa for 4 days for #4C15 and I'm bringing 4 pairs of shoes ... #Ineedoptions! #conferencefashion",FALSE,2,NA,2015-03-17 18:22:47,FALSE,NA,"577897887608098816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jzinchuk",0,FALSE,FALSE,NA,NA
"RT @NCTE_CCCC: MT @brownellcassie: Shameless promotion of my @MSUCollegeofEd mentor @wargojon's #4c15 award http://t.co/F2CxYmVjF2",FALSE,0,NA,2015-03-17 18:18:26,FALSE,NA,"577896791879725056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UA_Mr_Harrell",2,TRUE,FALSE,NA,NA
"Direct flight to Tampa because never will I ever run through O'Hare in heels again. #4C15 and 85 degrees: I'm comin' for you",FALSE,3,NA,2015-03-17 18:12:32,FALSE,NA,"577895304739049472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ashsevans",0,FALSE,FALSE,NA,NA
"RT @digirhet: Last call for survey respondents--bringing flyers to #4C15. Pass one along to a colleague?  http://t.co/m1kheYNvdj http://t.c…",FALSE,0,NA,2015-03-17 18:11:23,FALSE,NA,"577895017370484736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dhocutt",4,TRUE,FALSE,NA,NA
"RT @NCTE_CCCC: Tampa weather for #4C15 looks good  http://t.co/FRW3an6pmH",FALSE,0,NA,2015-03-17 18:11:10,FALSE,NA,"577894960642527232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dhocutt",1,TRUE,FALSE,NA,NA
"RT @DavidBoyles3: Going to #4c15? Check this out. https://t.co/QGuLMKAFZA",FALSE,0,NA,2015-03-17 18:09:40,FALSE,NA,"577894583977308160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeslieLearns",4,TRUE,FALSE,NA,NA
"RT @Tampa4c: This is what it looks like in Tampa right now. #4c15 #packsunscreen http://t.co/v4jtgNVGxt",FALSE,0,NA,2015-03-17 18:08:37,FALSE,NA,"577894322756009984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeslieLearns",5,TRUE,FALSE,NA,NA
"RT @Fmkurtyka: Stuff you're probably going to forget to pack for #4c15 : granola bars, name badge, gum. You're welcome.",FALSE,0,NA,2015-03-17 18:08:11,FALSE,NA,"577894210709381120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeslieLearns",11,TRUE,FALSE,NA,NA
"ATL to TPA via Southwest! Anyone else on this flight?  #4C15",FALSE,0,NA,2015-03-17 18:08:08,FALSE,NA,"577894201037307904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JennRoseFor",0,FALSE,FALSE,NA,NA
"Tampa weather for #4C15 looks good  http://t.co/FRW3an6pmH",FALSE,1,NA,2015-03-17 18:06:49,FALSE,NA,"577893867816689665",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NCTE_CCCC",1,FALSE,FALSE,NA,NA
"RT @lecagle: Excited about how excited people are about Florida. #4c15",FALSE,0,NA,2015-03-17 18:05:54,FALSE,NA,"577893637792624640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeslieLearns",2,TRUE,FALSE,NA,NA
"#4c15 starts tomorrow and I'm pretty excited. 45 concurrent panels? So many choices! #EnglishTeacherProblems #SoManyPanelsSoLittleTime",FALSE,1,NA,2015-03-17 18:05:00,FALSE,NA,"577893409970589697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeslieLearns",0,FALSE,FALSE,NA,NA
"RT @activitystory: Just picked up some last minute #4c15 #MW02 #DIY supplies for @jwluther at JFK http://t.co/97SZzcDnvh",FALSE,0,NA,2015-03-17 18:03:00,FALSE,NA,"577892908784885761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jwluther",1,TRUE,FALSE,NA,NA
"Plan to attend @jwluther, @kkprins, &amp; Farmer's #4C15 talk for 2 key reasons: 1) looks awesome &amp; 2) I want to know how to pronounce bricoleur",FALSE,9,NA,2015-03-17 18:02:37,FALSE,NA,"577892810227118080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","edwardsdusty",0,FALSE,FALSE,NA,NA
"Great #4c15 presentation coming up by Malea Powell. Lots of #MLA work cited. https://t.co/9qi7wIginl",FALSE,0,NA,2015-03-17 18:02:30,FALSE,NA,"577892780187344896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rgfeal",0,FALSE,FALSE,NA,NA
